GPU,Core Clock,Turbo Clock,Memory Clock,Memory Interface,Memory Transfer Rate,Proc.,DirectX,PCIe
Radeon 9200,250 MHz,NA,400 MHz,128-bit,6.4 GB/s,4,8.1,AGP 8x
Radeon 9200 Pro,275 MHz,NA,550 MHz,128-bit,8.8 GB/s,4,8.1,AGP 8x
Radeon 9200 SE,200 MHz,NA,333 MHz,64-bit,2.6 GB/s,4,8.1,AGP 8x
Radeon 9250,240 MHz,NA,400 MHz,128-bit,6.4 GB/s,4,8.1,AGP 8x
Radeon 9250 SE,240 MHz,NA,400 MHz,64-bit,3.2 GB/s,4,8.1,AGP 8x
Radeon 9500,275 MHz,NA,540 MHz,128-bit,8.6 GB/s,4,9.0,AGP 8x
Radeon 9550,250 MHz,NA,400 MHz,128-bit,6.4 GB/s,4,9.0,AGP 8x
Radeon 9550 SE,250 MHz,NA,400 MHz,64-bit,3.2 GB/s,4,9.0,AGP 8x
Radeon 9500 Pro,275 MHz,NA,540 MHz,128-bit,8.6 GB/s,8,9.0,AGP 8x
Radeon 9600,325 MHz,NA,400 MHz,128-bit,6.4 GB/s,4,9.0,AGP 8x
Radeon 9600 Pro,400 MHz,NA,600 MHz,128-bit,9.6 GB/s,4,9.0,AGP 8x
Radeon 9600 SE,325 MHz,NA,400 MHz,64-bit,3.2 GB/s,4,9.0,AGP 8x
Radeon 9600 XT,500 MHz,NA,600 MHz,128-bit,9.6 GB/s,4,9.0,AGP 8x
Radeon 9700,275 MHz,NA,540 MHz,256-bit,17.2 GB/s,8,9.0,AGP 8x
Radeon 9700 Pro,325 MHz,NA,620 MHz,256-bit,19.8 GB/s,8,9.0,AGP 8x
Radeon 9800,325 MHz,NA,580 MHz,256-bit,18.56 GB/s,8,9.0,AGP 8x
Radeon 9800 Pro,380 MHz,NA,680 MHz,256-bit,21.7 GB/s,8,9.0,AGP 8x
Radeon 9800 SE,325 MHz,NA,500 MHz,128-bit or 256-bit,8 GB/s or 16 GB/s,4,9.0,AGP 8x
Radeon 9800 XT,412 MHz,NA,730 MHz,256-bit,23.3 GB/s,8,9.0,AGP 8x
Radeon X300 SE,325 MHz,NA,400 MHz,64-bit,3.2 GB/s,4,9.0,1.1
Radeon X300,325 MHz,NA,400 MHz,128-bit,6.4 GB/s,4,9.0,1.1
