"GPU","Clock","Turbo Clock","Memory Clock","Memory Interface","Memory Bandwidth","Proc.","DirectX","OpenGL","PCIe  "
"GeForce4 MX 420","250 MHz","–","166 MHz","128-bit","2.6 GB/s","1","7","1.2","AGP 4x   "
"GeForce4 MX 440 SE","250 MHz","–","333 MHz","64-bit","2.6 GB/s","1","7","1.2","AGP 4x"
"GeForce4 MX 440","270 MHz","–","400 MHz","128-bit","6.4 GB/s","1","7","1.2","AGP 4x   "
"GeForce 4 MX 440 AGP 8x","275 MHz","–","512 MHz","128-bit","8.1 GB/s","1","7","1.2","AGP 8x  "
"GeForce4 MX 460","300 MHz","–","550 MHz","128-bit","8.8 GB/s","1","7","1.2","AGP 4x   "
"GeForce MX 4000","250 MHz","–","*","32-bit, 64-bit or 128-bit","*","1","7","1.2","AGP 8x"
"GeForce4 Ti 4200","250 MHz","–","514 MHz (64 MB) or 444 MHz (128 MB)","128-bit","8.2 GB/s (64 MB) or 7.1 GB/s (128 MB)","4","8.1","1.4","AGP 4x "
"GeForce4 Ti 4200 AGP 8x","250 MHz","–","500 MHz","128-bit","8 GB/s","4","8.1","1.4","AGP 8x   "
"GeForce PCX 4300","275 MHz","–","512 MHz","128-bit","8.2 GB/s","2","7","1.4","1.1   "
"GeForce4 Ti 4400","275 MHz","–","550 MHz","128-bit","8.8 GB/s","4","8.1","1.4","AGP 4x"
"GeForce4 Ti 4600","300 MHz","–","650 MHz","128-bit","10.4 GB/s","4","8.1","1.4","AGP 4x  "
"GeForce4 Ti 4800 SE","275 MHz","–","550 MHz","128-bit","8.8 GB/s","4","8.1","1.4","AGP 8x   "
"GeForce4 Ti 4800","300 MHz","–","650 MHz","128-bit","10.4 GB/s","4","8.1","1.4","AGP 8x  "
"GeForce FX 5200","250 MHz","–","400 MHz","64-bit or 128-bit","3.2 GB/s or 6.4 GB/s","4","9.0","1.5","AGP 8x  "
"GeForce FX 5200 SE","250 MHz","–","333 MHz","64-bit","2.7 GB/s","4","9.0","1.5","AGP 8x  "
"GeForce FX 5200 Ultra","350 MHz","–","650 MHz","128-bit","10.4 GB/s","4","9.0","1.5","AGP 8x   "
"GeForce PCX 5300","325 MHz","–","650 MHz","128-bit","10.4 GB/s","4","9.0","1.5","1.1   "
"GeForce FX 5600","325 MHz","–","550 MHz","128-bit","8.8 GB/s","4","9.0","1.5","AGP 8x "
"GeForce FX 5600 SE","250 MHz","–","550 MHz","64-bit","4.4 GB/s","4","9.0","1.5","AGP 8x  "
"GeForce FX 5500","270 MHz","–","400 MHz","64-bit or 128-bit","3.2 GB/s or 6.4 GB/s","4","9.0","1.5","AGP 8x  "
"GeForce FX 5600 Ultra","500 MHz","–","800 MHz","128-bit","12.8 GB/s","4","9.0","1.5","AGP 8x   "
"GeForce FX 5700 LE","250 MHz","–","400 MHz","128-bit","6.4 GB/s","4","9.0","1.5","AGP 8x "
