ProductName,DiskType,Capacity,Rotation Speed,Interface,FormFactor
Samsung Spinpoint F1 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Toshiba MD04ACA 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 1.5TB (SATA2; 32MB),Hard disk,1500 GB,5400 rpm,Serial ATA 300,3.5 inch
Seagate Momentus STBD750200 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital Red 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Constellation ES.3 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Surveillance HDD 5TB (rescue),Hard disk,5000 GB,5900 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint F1R 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar SE 500GB (IDE; retail),Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus XT 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,2.5 inch
Toshiba MD04ABA500V 5TB,Hard disk,5000 GB,,Serial ATA 600,3.5 inch
Western Digital Re 2TB (SATA2),Hard disk,2000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Black 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 600,2.5 inch
Toshiba DT01ABA200 2TB,Hard disk,2000 GB,5700 rpm,Serial ATA 600,3.5 inch
Seagate Archive HDD 6TB,Hard disk,6000 GB,5900 rpm,Serial ATA 600,3.5 inch
Toshiba MK3263GSX 320GB SATA2,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Travelstar 5K250 200GB SATA2,Hard disk,200 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Pipeline 320GB,Hard disk,320 GB,5900 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda Green 1TB,Hard disk,1000 GB,5900 rpm,Serial ATA 300,3.5 inch
Seagate Momentus Thin 320GB,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda 7200.14 1.5TB,Hard disk,1500 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Caviar Green 1TB (SATA2; 64MB),Hard disk,1000 GB,5400 rpm,Serial ATA 300,3.5 inch
