ProductName,Capacity (Total),ModuleNum,MemType,MemSpeed
Kingston HyperX Fury Black 16GB DDR3-1600 CL10 kit,16 GB,2 x,DDR3,1600 MHz
Kingston ValueRam 4GB DDR3-1333 CL9 kit,4 GB,2 x,DDR3,1333 MHz
Corsair Vengeance LPX Red 32GB DDR4-2400 CL16 quad kit,32 GB,4 x,DDR4,2400 MHz
G.Skill 4GB DDR3-1333 CL9 kit,4 GB,2 x,DDR3,1333 MHz
G.Skill Ares 32GB DDR3-1600 CL10 quad kit,32 GB,4 x,DDR3,1600 MHz
Corsair Vengeance LPX Black 128GB DDR4-3000 CL15 octo kit,128 GB,8 x,DDR4,3000 MHz
Crucial 4GB DDR2-533 CL4 kit,4 GB,2 x,DDR2,533 MHz
Kingston HyperX Blu 4GB DDR3-1600 CL9 kit,4 GB,2 x,DDR3,1600 MHz
OCZ SLI XTC 4GB DDR3-1800 CL9 EPP kit,4 GB,2 x,DDR3,1800 MHz
Geil Evo Leggera 16GB DDR3-1866 CL9 quad kit,16 GB,4 x,DDR3,1866 MHz
Geil Evo Two 4GB DDR3-2400 CL9 kit,4 GB,2 x,DDR3,2400 MHz
G.Skill RipjawsZ 16GB DDR3-2400 CL10 quad kit,16 GB,4 x,DDR3,2400 MHz
OCZ Platinum 6GB DDR3-2000 LV CL8 kit,6 GB,2 x,DDR3,2000 MHz
G.Skill TridentX 16GB DDR3-2933 CL12 quad kit,16 GB,4 x,DDR3,2933 MHz
Corsair Vengeance LPX Black 64GB DDR4-2133 CL13 quad kit,64 GB,4 x,DDR4,2133 MHz
G.Skill Sniper 12GB DDR3-1600 CL9 triple kit,12 GB,3 x,DDR3,1600 MHz
Kingston HyperX Predator 32GB DDR3-1600 CL9 XMP quad kit,32 GB,4 x,DDR3,1600 MHz
Kingston ValueRam 16GB DDR4-2400 CL14 ECC Registered kit,16 GB,2 x,DDR4,2400 MHz
G.Skill Trident Z 8GB DDR4-3733 CL17 kit,8 GB,2 x,DDR4,3733 MHz
G.Skill Ripjaws V White 16GB DDR4-3200 CL16 kit,16 GB,2 x,DDR4,3200 MHz
Corsair Vengeance Red 16GB DDR3-2400 CL9 quad kit,16 GB,4 x,DDR3,2400 MHz
Corsair Triple3X 6GB DDR3-1333 CL9 triple kit,6 GB,3 x,DDR3,1333 MHz
OCZ Platinum XTC 4GB DDR2-1200 CL5 kit,4 GB,2 x,DDR2,1200 MHz
Corsair Dominator Platinum 16GB DDR3-2133 CL9 quad kit (1.65V),16 GB,4 x,DDR3,1866 MHz
Kingston HyperX Predator 8GB DDR4-3200 CL16 kit,8 GB,2 x,DDR4,3200 MHz
Corsair Gaming 4GB DDR2-800 CL5 kit,4 GB,2 x,DDR2,800 MHz
G.Skill Ripjaws V Black 16GB DDR4-3000 CL15 kit,16 GB,2 x,DDR4,3000 MHz
Adata XPG V3 8GB DDR3-2800 CL12 kit,8 GB,2 x,DDR3,2800 MHz
Corsair Vengeance Red 8GB DDR3-1600 CL7 kit,8 GB,2 x,DDR3,1600 MHz
Team Xtreem 8GB DDR3-2666 CL10 kit,8 GB,2 x,DDR3,2666 MHz
Geil Dragon Ram 16GB DDR4-3466 CL16 kit,16 GB,2 x,DDR4,3466 MHz
Kingston HyperX Beast 64GB DDR3-2133 CL11 octo kit,64 GB,8 x,DDR3,2133 MHz
Kingston HyperX Fury Blue 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
Geil Evo Two 8GB DDR3-1333 CL7 kit,8 GB,2 x,DDR3,1333 MHz
OCZ XTE Platinum 4GB DDR3-1600 CL9 kit,4 GB,2 x,DDR3,2000 MHz
Crucial 48GB DDR3-1866 CL13 ECC Registered Triple kit,48 GB,3 x,DDR3,1866 MHz
G.Skill Ripjaws 24GB DDR3-1600 CL9 hexa kit,24 GB,6 x,DDR3,1600 MHz
Geil Evo Two 32GB DDR3-1600 CL10 quad kit,32 GB,4 x,DDR3,1600 MHz
G.Skill Trident Z Silver/Red 32GB DDR4-3333 CL16 kit,32 GB,2 x,DDR4,3333 MHz
Corsair Vengeance LPX 16GB DDR4-3200 CL14 kit,16 GB,2 x,DDR4,3200 MHz
G.Skill Ripjaws IV Blue 32GB DDR4-2133 CL15 quad kit,32 GB,4 x,DDR4,2133 MHz
Geil Black Dragon 4GB DDR2-800 CL4 quad kit,4 GB,4 x,DDR2,800 MHz
G.Skill Trident Z Black/Orange 16GB DDR4-3200 CL15 kit,16 GB,2 x,DDR4,3200 MHz
Geil Evo Leggera 32GB DDR3-1600 CL9 quad kit,32 GB,4 x,DDR3,1600 MHz
G.Skill Ripjaws V Red 32GB DDR4-2400 CL15 kit,32 GB,2 x,DDR4,2400 MHz
Adata XPG V2 8GB DDR3-1866 CL9 kit,8 GB,2 x,DDR3,1866 MHz
Geil Black Dragon 4GB DDR3-1600 CL9 kit,4 GB,2 x,DDR3,1600 MHz
Geil Evo One 8GB DDR3-2133 CL9 quad kit,8 GB,4 x,DDR3,2133 MHz
Corsair Vengeance LPX Red 32GB DDR4-3000 CL15 kit,32 GB,2 x,DDR4,3000 MHz
