ProductName,FormFactor,CPUSocket,Chipset,MemType,Sata3Ports,PCIExpress_x16Ports,DDR3MemSlots,DDR4MemSlots
ASUS P5B-SE,ATX,Socket 775,Intel P965,DDR2,,,,
ASUS B150-Pro Gaming/Aura,ATX,Socket 1151,Intel B150,DDR4,6,2,0,4
MSI 785G-E53,ATX,Socket AM3,AMD 785G,DDR3,,,,
MSI 890FXA-GD70,ATX,Socket AM3,AMD 890FX,DDR3,,,4,
ASUS P8H67,ATX,Socket 1155,Intel H67,DDR3,2,2,,
ASUS P9X79 LE,ATX,Socket 2011,,DDR3,2,3,,
ASRock H55M-GE R2.0,Micro ATX,Socket 1156,Intel H55,DDR3,,,,
ASUS P5ND2-SLI Deluxe,ATX,Socket 775,Nvidia nForce 4 SLI,,,,,
MSI A58M-E33,Micro ATX,Socket FM2+,AMD A58,DDR3,,,,
ASRock Fatal1ty B85 Killer,ATX,Socket 1150,Intel B85,DDR3,4,1,,
MSI 880GMA-E45,Micro ATX,Socket AM3,AMD 880G,DDR3,6,1,4,
ASRock 939A785GMH/128M,Micro ATX,Socket 939,AMD 785G,DDR,,,,
MSI 945GCM7-F,Micro ATX,Socket 775,Intel 945GC,DDR2,,,,
ASRock H61DE/S3,ATX,Socket 1155,Intel H61,DDR3,2,1,,
ASRock H77M,Micro ATX,Socket 1155,Intel H77,DDR3,2,2,,
MSI X79A-GD45 Plus,ATX,Socket 2011,Intel X79,DDR3,2,5,8,
MSI 890FXA-GD65,ATX,Socket AM3,AMD 890FX,DDR3,6,2,,
ASUS A58M-E,Micro ATX,Socket FM2+,AMD A58,DDR3,,,,
ASUS X99-M WS,Micro ATX,Socket 2011-3,Intel X99,DDR4,8,3,0,4
ASUS M2N-VM DH,Micro ATX,Socket AM2,,DDR2,,,,
ASUS P8Z77 WS,ATX,Socket 1155,Intel Z77,DDR3,4,4,4,
MSI B150M Pro-DH,Micro ATX,Socket 1151,Intel B150,DDR4,6,1,,
ASUS A58M-K,Micro ATX,Socket FM2+,AMD A58,DDR3,,,,
ASUS P5Q3 Deluxe/WiFi-AP@n,ATX,Socket 775,Intel P45,DDR3,,,4,
MSI A55-G35,ATX,Socket FM1,AMD A55,DDR3,,,,
Gigabyte Z77X-UD3H WiFi,ATX,Socket 1155,Intel Z77,DDR3,2,1,,
ASUS M2A-MX,Micro ATX,Socket AM2+,AMD 690V,DDR2,,,,
MSI A58M-E35,Micro ATX,Socket FM2+,AMD A58,DDR3,,,,
ASUS P8Z68-V Gen3,ATX,Socket 1155,Intel Z68,DDR3,2,3,,
ASUS M4A78-VM,Micro ATX,Socket AM2+,AMD 780G,DDR2,,,,
ASUS P5Q-EM,Micro ATX,Socket 775,Intel G45,DDR2,,,,
Gigabyte H87-D3H,ATX,Socket 1150,Intel H87,DDR3,6,2,,
ASRock H170 Pro4S,ATX,Socket 1151,Intel H170,DDR4,6,2,,
ASRock Fatal1ty Z170 Gaming K4/D3,ATX,Socket 1151,Intel Z170,DDR3,6,2,,
ASRock H81M-G,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
ASUS M3N78 Pro,ATX,Socket AM2+,Nvidia GeForce 8300,DDR2,,,0,
MSI A55-G45,ATX,Socket FM1,AMD A55,DDR3,6,2,,
MSI 880GMA-E55,Micro ATX,Socket AM3,AMD 880G,DDR3,6,1,,
Gigabyte 890XA-UD3,ATX,Socket AM3,AMD 790X,DDR3,6,2,,
MSI K9N6PGM2-V2,Micro ATX,Socket AM2,Nvidia GeForce 6150,DDR2,,,,
ASUS Maximus VII Formula Gaming,ATX,Socket 1150,Intel Z97,DDR3,6,1,,
ASUS P7P55D Pro,ATX,Socket 1156,Intel P55,DDR3,,,,
Gigabyte F2A68HM-DS2,Micro ATX,Socket FM2+,AMD A68H,DDR3,4,1,,
ASUS H61M-Pro,Micro ATX,Socket 1155,Intel H61,DDR3,,,,
ASUS P7P55D-E LX,ATX,Socket 1156,Intel P55,DDR3,2,1,,
ASUS B85M-E,Micro ATX,Socket 1150,Intel B85,DDR3,4,1,,
ASUS B85M-G,Micro ATX,Socket 1150,Intel B85,DDR3,4,1,4,
ASUS L1N64-SLI WS,ATX,Socket 1207,Nvidia nForce 680a SLI,DDR2,,,,
ASUS M4A79 Deluxe,ATX,Socket AM3,AMD 790FX,DDR2,,,0,
Gigabyte 770TA-UD3,ATX,Socket AM3,AMD 770,DDR3,,,,
Gigabyte K8VNXP,ATX,Socket 754,VIA K8T800,,,,,
ASUS B85M-K,Micro ATX,Socket 1150,Intel B85,DDR3,4,1,,
ASUS M4N68T-M,Micro ATX,Socket AM2+,Nvidia GeForce 7025,DDR3,,,,
MSI H170 Gaming M3,ATX,Socket 1151,Intel H170,DDR4,6,2,0,4
Gigabyte F2A75-D3H,ATX,Socket FM2,AMD A75,DDR3,6,2,,
Gigabyte P35-S3,ATX,Socket 775,Intel P35,DDR2,,,,
MSI 770T-C45,ATX,Socket AM3,AMD 770,DDR2,,,,
ASRock 790GX Pro,ATX,Socket AM3,AMD 790GX,DDR3,,,,
MSI A88XM-P33 V2,Micro ATX,Socket FM2+,AMD A88X,DDR3,4,1,,
ASUS P5L-VM 1394,Micro ATX,Socket 775,Intel 945G,DDR2,,,,
ASRock Fatal1ty Z97X Killer/3.1,ATX,Socket 1150,Intel Z97,DDR3,6,3,,
ASUS P5Q Pro Turbo,ATX,Socket 775,Intel P45,DDR2,,,,
ASUS Maximus VII Gene,Micro ATX,Socket 1150,Intel Z97,DDR3,8,2,4,
MSI K9N SLI-F V2,ATX,Socket AM2,Nvidia nForce 570 SLI,DDR2,,,,
Gigabyte F2A68HM-S1,Micro ATX,Socket FM2+,AMD A68H,DDR3,4,1,,
ASRock P67 Extreme4,ATX,Socket 1155,Intel P67,DDR3,4,3,4,
Gigabyte H67A-UD3H-B3,ATX,Socket 1155,Intel H67,DDR3,2,2,4,
ASRock P67 Extreme6,ATX,Socket 1155,Intel P67,DDR3,6,3,,
ASRock M3A780GXH/128M,ATX,Socket AM3,AMD 780G,,,,,
MSI P45 Neo2-FIR,ATX,Socket 775,Intel P45,DDR2,,,,
ASRock P67 Pro3 B3,ATX,Socket 1155,Intel P67,DDR3,2,1,,
ASUS Z97-K/USB 3.1,ATX,Socket 1150,Intel Z97,DDR3,6,1,,
MSI H87-G43,ATX,Socket 1150,Intel H87,DDR3,6,2,,
ASUS Commando,ATX,Socket 775,Intel P965,DDR2,,,,
ASRock ZH77 Pro3,ATX,Socket 1155,Intel H77,DDR3,2,2,,
ASRock H61 Pro BTC,ATX,Socket 1155,Intel H61,DDR3,,,,
ASRock H170 Combo,ATX,Socket 1151,Intel H170,DDR3+DDR4,6,2,4,2
ASRock P4FSB1333-650,ATX,Socket 775,Intel 945GC,DDR2,,,,
MSI 945P Platinum,ATX,Socket 775,Intel 945P,,,,,
MSI B150M Pro-VDH,Micro ATX,Socket 1151,Intel B150,DDR4,6,1,,
ASUS F2A55-M LK2 Plus,Micro ATX,Socket FM2,AMD A55,DDR3,,,,
ASUS P5Q Turbo,ATX,Socket 775,Intel P45,DDR2,,,,
Gigabyte M61PM-S2,Micro ATX,Socket AM2,,DDR2,,,,
MSI A88XM-P33,Micro ATX,Socket FM2+,AMD A88X,DDR3,4,1,,
Gigabyte H81M-S2PV,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
ASRock N7AD-SLI,ATX,Socket 775,Nvidia nForce 740i SLI,DDR2,,,,
MSI 760GTM-P33,Micro ATX,Socket AM2+,AMD 760G,DDR2,,,,
ASUS H81-Plus,ATX,Socket 1150,Intel H81,DDR3,2,1,,
MSI G41M-P23,Micro ATX,Socket 775,Intel G41,DDR3,,,,
ASUS Maximus VI Formula (C2),ATX,Socket 1150,Intel Z87,DDR3,10,3,4,
ASRock Z87 Killer,ATX,Socket 1150,Intel Z87,DDR3,6,3,4,
ASRock X99 Extreme6,ATX,Socket 2011-3,Intel X99,DDR4,10,3,0,8
MSI G41M-P28,Micro ATX,Socket 775,Intel G41,DDR3,,,,
ASRock X99 Extreme4,ATX,Socket 2011-3,Intel X99,DDR4,10,4,0,8
MSI G41M-P26,Micro ATX,Socket 775,Intel G41,DDR3,,,,
ASRock X99 Extreme3,ATX,Socket 2011-3,Intel X99,DDR4,10,3,,
MSI G41M-P25,Micro ATX,Socket 775,Intel G41,DDR3,,,,
MSI X79A-GD65 (8D) Frío Advanced,ATX,Socket 2011,Intel X79,DDR3,4,5,8,
Gigabyte X58A-UD3R,ATX,Socket 1366,Intel X58,DDR3,2,4,,
ASRock H97 Pro4,ATX,Socket 1150,Intel H97,DDR3,6,1,,
ASUS Crossblade Ranger,ATX,Socket FM2+,AMD A88X,DDR3,8,3,4,0
ASUS B85M-Gamer,ATX,Socket 1150,Intel B85,DDR3,4,2,,
MSI K9A2VM-FD,Micro ATX,Socket AM2+,AMD 780V,DDR2,,,,
ASRock H110M-DVS/D3,Micro ATX,Socket 1151,Intel H110,DDR3,4,1,,
