ProductName,Power(W),Efficiency Rating
Chieftec Nitro Series 550W,550 W,
Be quiet! Straight Power 10 800W CM,800 W,80 Plus Gold
Cooler Master V-Series Semi-Modular 750W,750 W,80 Plus Gold
Gigabyte GreenMax 650W,650 W,80 Plus Bronze
Thermaltake Smart DPS G 700W,700 W,80 Plus Bronze
FSP Hydro X 450W,450 W,80 Plus
Cooler Master GX Series V2 650W,650 W,80 Plus Bronze
Cooler Master GM-Series G750M,750 W,80 Plus Bronze
Thermaltake Toughpower Cable Management 850W,850 W,80 Plus Bronze
Chieftec iArena GPB-400S,400 W,
Aerocool Strike-X Army 600W,600 W,
Thermaltake Toughpower XT 1375W,1375 W,
Antec VP450P Basiq 450W,450 W,80 Plus
Thermaltake Smart Series 450W,450 W,80 Plus Bronze
SilverStone Gemini GM500-G 500W,500 W,80 Plus Gold
Corsair TX850,850 W,80 Plus
Aerocool E78-730 730W,730 W,
Super Flower Golden Green HX 650W,650 W,80 Plus Gold
Zalman ZM600-GVM 600W,600 W,80 Plus Bronze
Seasonic SSP-450RT 450W,450 W,80 Plus Gold
Antec VPF Bronze 450W,450 W,80 Plus Bronze
Corsair CX430M,430 W,80 Plus Bronze
Corsair GS800 Bronze,800 W,80 Plus Bronze
Be quiet! Straight Power E9 600W,600 W,80 Plus Gold
Be quiet! Dark Power Pro 10 850W,850 W,80 Plus Platinum
Gigabyte Pulse 550W,550 W,80 Plus Bronze
Thermaltake Litepower 500W,500 W,80 Plus
SilverStone Strider 1500W,1500 W,80 Plus Gold
Zalman ZM460B-APS,460 W,
Be quiet! B8 300W,300 W,80 Plus
Zalman ZM700-TX 700W,700 W,80 Plus
Corsair VX450,450 W,80 Plus
FSP Fortron Source 600W,600 W,
Antec HCP Platinum 1000W,1000 W,80 Plus Platinum
Cooler Master Real Power Pro 550W,550 W,80 Plus
SilverStone Zeus 1200W,1200 W,
Cooler Master V-Series 750W,750 W,80 Plus Gold
Seasonic Platinum Series 660W v2,660 W,80 Plus Platinum
FSP FSP700-80PSA 700W,700 W,
Thermaltake Toughpower DPS G Platinum 1200W,1200 W,80 Plus Platinum
Fractal Design Edison M Series 650W,650 W,80 Plus Gold
FSP Fortron FSP350-70PFL 350W,350 W,
Be quiet! Pure Power 9 CM 600W,600 W,80 Plus Silver
Gigabyte Pluse 450W,450 W,80 Plus Bronze
FSP FSP350-60GHC*M*,350 W,
Chieftec GPF-250P 250W,250 W,80 Plus Bronze
Super Flower Amazon Bronze 450W,450 W,80 Plus Bronze
FSP Aurum CM 750W,750 W,80 Plus Gold
Seasonic M12II Evo Bronze 520W,520 W,80 Plus Bronze
Chieftec A-90 Series GDP-650C 650W,650 W,80 Plus Gold
Super Flower Leadex Gold 1300W,1300 W,80 Plus Gold
Xilence Performance A Series 430W,430 W,80 Plus
Chieftec Smart Series GPS-600A8 600W,600 W,80 Plus Bronze
Be quiet! Straight Power E9 CM 680W,680 W,80 Plus Gold
FSP FSP550-50ERN 550W,550 W,80 Plus Silver
Aerocool Strike-X 500W,500 W,80 Plus Bronze
Seasonic M12II Bronze 850W,850 W,80 Plus Bronze
Be quiet! System Power 300W,300 W,80 Plus
Seasonic G-Series 550W PCGH Edition,550 W,80 Plus Gold
SilverStone Nightjar ST50NF 500W,500 W,80 Plus Silver
Zalman ZM500-LX 500W,500 W,
Cooler Master Silent Pro Gold 800W,800 W,80 Plus Gold
