Name,Codename,Cores,Brand,Socket,Process,Clock,Multi,Voltage,Cache L1/L2/L3,TDP,Released
A10-5700,Trinity,4-Core,AMD,FM2,32 nm,3400 MHz,34.0x,1.475 V,128K / 1024K / 0K,65W,Oct-12
A10-5800B,Trinity,4-Core,AMD,FM2,32 nm,3800 MHz,38.0x,1.475 V,128K / 1024K / 0K,100W,Oct-12
A10-5800K,Trinity,4-Core,AMD,FM2,32 nm,3800 MHz,38.0x,1.475 V,128K / 1024K / 0K,100W,Oct-12
A10-6700,Richland,4-Core,AMD,FM2,32 nm,3700 MHz,37.0x,1.475 V,128K / 1024K / 0K,65W,Jun-13
A10-6700T,Richland,4-Core,AMD,FM2,32 nm,2500 MHz,25.0x,1.475 V,128K / 1024K / 0K,45W,Sep-13
A10-6790K,Richland,4-Core,AMD,FM2,32 nm,4000 MHz,40.0x,1.475 V,128K / 1024K / 0K,100W,Oct-13
A10-6800K,Richland,4-Core,AMD,FM2,32 nm,4100 MHz,41.0x,1.475 V,128K / 1024K / 0K,100W,Jun-13
A10-7700K,Kaveri,4-Core,AMD,FM2,28 nm,3500 MHz,35.0x,1.475 V,128K / 1024K / 0K,95W,Jan-14
A10-7850K,Kaveri,4-Core,AMD,FM2,28 nm,3700 MHz,37.0x,1.475 V,128K / 1024K / 0K,95W,Jan-14
A10-7870K,Kaveri,4-Core,AMD,FM2,28 nm,3900 MHz,39.0x,1.475 V,128K / 1024K / 0K,95W,May-15
A10-7890K,Kaveri,4-Core,AMD,FM2,28 nm,4000 MHz,40.0x,1.475 V,128K / 1024K / 0K,95W,Jan-16
A4-3300,Llano,2-Core,AMD,FM1,32 nm,2500 MHz,25.0x,1.4125 V,128K / 512K / 0K,65W,Sep-11
A4-3400,Llano,2-Core,AMD,FM1,32 nm,2700 MHz,27.0x,1.4125 V,128K / 512K / 0K,65W,Sep-11
A4-3420,Llano,2-Core,AMD,FM1,32 nm,2800 MHz,28.0x,1.4125 V,128K / 512K / 0K,65W,Dec-11
A4-4000,Richland,2-Core,AMD,FM2,32 nm,3000 MHz,30.0x,1.475 V,128K / 1024K / 0K,65W,Jun-13
A4-5300,Trinity,2-Core,AMD,FM2,32 nm,3400 MHz,36.0x,1.475 V,128K / 1024K / 0K,65W,Oct-12
A4-5300B,Trinity,2-Core,AMD,FM2,32 nm,3400 MHz,36.0x,1.475 V,128K / 1024K / 0K,65W,Oct-12
A4-6300,Richland,2-Core,AMD,FM2,32 nm,3700 MHz,37.0x,1.475 V,128K / 1024K / 0K,65W,Jun-13
A6-3500,Llano,3-Core,AMD,FM1,32 nm,2100 MHz,21.0x,1.4125 V,128K / 1024K / 0K,65W,Aug-11
A6-3600,Llano,4-Core,AMD,FM1,32 nm,2100 MHz,21.0x,1.4125 V,128K / 1024K / 0K,65W,Jun-11
A6-3620,Llano,4-Core,AMD,FM1,32 nm,2200 MHz,22.0x,1.4125 V,128K / 1024K / 0K,65W,Dec-11
A6-3650,Llano,4-Core,AMD,FM1,32 nm,2600 MHz,26.0x,1.4125 V,128K / 1024K / 0K,100W,Jun-11
A6-3670K,Llano,4-Core,AMD,FM1,32 nm,2700 MHz,27.0x,1.4125 V,128K / 1024K / 0K,100W,Dec-11
A6-5400B,Trinity,4-Core,AMD,FM2,32 nm,3600 MHz,36.0x,1.475 V,128K / 1024K / 0K,65W,Oct-12
A6-5400K,Trinity,4-Core,AMD,FM2,32 nm,3600 MHz,36.0x,1.475 V,128K / 1024K / 0K,65W,Oct-12
A6-6400K,Richland,2-Core,AMD,FM2,32 nm,3900 MHz,39.0x,1.475 V,128K / 1024K / 0K,65W,Jun-13
